                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.70861,                0.42011,                 1.0116,                0.92862,                      1,                  0.995,                0.84013,                0.64424,                0.41665,                 1.0039,               2.08e-05,               2.08e-05,               2.08e-05
                    123,                0.73469,                0.43282,                   1.04,                0.92844,                      1,                  0.995,                0.83648,                0.64638,                0.41341,                  1.003,              2.014e-05,              2.014e-05,              2.014e-05
                    124,                0.70349,                0.39605,                0.98506,                0.92395,                      1,                  0.995,                  0.833,                0.64658,                0.41631,                 1.0041,              1.948e-05,              1.948e-05,              1.948e-05
                    125,                0.69148,                0.39604,                0.99711,                0.92514,                      1,                  0.995,                  0.833,                0.64558,                0.41325,                 1.0036,              1.882e-05,              1.882e-05,              1.882e-05
                    126,                0.69172,                0.39246,                 1.0004,                0.92587,                      1,                  0.995,                  0.831,                0.64437,                0.41218,                 1.0031,              1.816e-05,              1.816e-05,              1.816e-05
                    127,                 0.6958,                0.38663,                 1.0102,                 0.9251,                      1,                  0.995,                0.83724,                0.64621,                0.40957,                 1.0034,               1.75e-05,               1.75e-05,               1.75e-05
                    128,                0.70513,                0.41577,                 1.0356,                0.92304,                      1,                  0.995,                  0.833,                0.64519,                 0.4096,                 1.0023,              1.684e-05,              1.684e-05,              1.684e-05
                    129,                0.67306,                0.37084,                0.99095,                0.92431,                      1,                  0.995,                0.83648,                0.64487,                0.40938,                 1.0017,              1.618e-05,              1.618e-05,              1.618e-05
                    130,                0.70655,                0.41313,                 1.0104,                0.92498,                      1,                  0.995,                0.83648,                0.64538,                0.40948,                 1.0021,              1.552e-05,              1.552e-05,              1.552e-05
                    131,                0.68647,                0.39846,                 1.0192,                0.92643,                      1,                  0.995,                0.83648,                0.64437,                  0.415,                 1.0021,              1.486e-05,              1.486e-05,              1.486e-05
                    132,                0.69042,                0.39425,                 0.9884,                0.92838,                      1,                  0.995,                0.83648,                0.64733,                 0.4114,                 1.0021,               1.42e-05,               1.42e-05,               1.42e-05
                    133,                0.73699,                 0.4279,                 1.0501,                 0.9297,                      1,                  0.995,                0.83038,                0.64877,                0.41853,                 1.0032,              1.354e-05,              1.354e-05,              1.354e-05
                    134,                0.70439,                 0.4115,                 1.0057,                 0.9249,                      1,                  0.995,                0.83187,                0.65146,                0.42262,                 1.0034,              1.288e-05,              1.288e-05,              1.288e-05
                    135,                0.66912,                0.38533,                0.97105,                0.92793,                      1,                  0.995,                0.83038,                0.65045,                0.41766,                 1.0031,              1.222e-05,              1.222e-05,              1.222e-05
                    136,                0.71009,                0.44225,                 1.0717,                 0.9243,                      1,                  0.995,                0.83038,                0.65316,                 0.4246,                  1.005,              1.156e-05,              1.156e-05,              1.156e-05
                    137,                0.72469,                0.41828,                 1.0257,                 0.9243,                      1,                  0.995,                0.83038,                0.65159,                0.41996,                 1.0023,               1.09e-05,               1.09e-05,               1.09e-05
                    138,                0.69286,                0.41113,                 1.0065,                0.92834,                      1,                  0.995,                0.83038,                0.65039,                0.41668,                 1.0015,              1.024e-05,              1.024e-05,              1.024e-05
                    139,                0.71798,                0.42281,                 1.0353,                0.92834,                      1,                  0.995,                0.83038,                0.65224,                0.41492,                 1.0032,               9.58e-06,               9.58e-06,               9.58e-06
                    140,                0.68634,                0.39316,                0.98053,                0.92722,                      1,                  0.995,                0.83038,                0.65488,                0.41312,                 1.0048,               8.92e-06,               8.92e-06,               8.92e-06
                    141,                 0.6146,                0.39095,                 1.0001,                0.90449,                      1,                  0.995,                0.83838,                0.65456,                0.42815,                 1.0045,               8.26e-06,               8.26e-06,               8.26e-06
